scenario,year,pr_mmday,pr_pct_change
ssp126,2015,2.9132,0.841
ssp126,2016,2.9007,1.435
ssp126,2017,2.9131,1.226
ssp126,2018,2.901,1.041
ssp126,2019,2.9121,1.755
ssp126,2020,2.9081,1.488
ssp126,2021,2.9216,1.354
ssp126,2022,2.913,1.878
ssp126,2023,2.9142,1.813
ssp126,2024,2.9354,2.662
ssp126,2025,2.9227,2.217
ssp126,2026,2.9372,2.099
ssp126,2027,2.9434,2.715
ssp126,2028,2.9531,2.683
ssp126,2029,2.943,2.868
ssp126,2030,2.9567,2.993
ssp126,2031,2.9496,3.16
ssp126,2032,2.9696,2.835
ssp126,2033,2.9686,3.645
ssp126,2034,2.9651,2.808
ssp126,2035,2.9632,3.585
ssp126,2036,2.994,3.265
ssp126,2037,2.9955,3.435
ssp126,2038,2.9774,3.716
ssp126,2039,2.9681,3.569
ssp126,2040,2.9751,3.68
ssp126,2041,2.985,3.675
ssp126,2042,2.9726,3.595
ssp126,2043,2.9935,4.61
ssp126,2044,2.9722,3.894
ssp126,2045,2.9779,4.075
ssp126,2046,2.9768,4.051
ssp126,2047,2.9983,4.307
ssp126,2048,2.9846,4.368
ssp126,2049,2.9944,4.49
ssp126,2050,2.9881,3.995
ssp126,2051,3.0057,4.381
ssp126,2052,2.9929,4.675
ssp126,2053,2.9875,4.484
ssp126,2054,2.9927,4.666
ssp126,2055,2.9923,4.651
ssp126,2056,3.0126,5.363
ssp126,2057,3.0164,4.963
ssp126,2058,2.9915,4.623
ssp126,2059,3.0032,4.285
ssp126,2060,3.026,4.805
ssp126,2061,3.0132,5.23
ssp126,2062,3.0088,4.916
ssp126,2063,3.0094,5.235
ssp126,2064,3.0121,5.345
ssp126,2065,3.0112,4.971
ssp126,2066,3.0042,5.057
ssp126,2067,3.0143,5.423
ssp126,2068,3.0169,5.514
ssp126,2069,3.0155,5.155
ssp126,2070,3.0207,4.87
ssp126,2071,3.0087,5.227
ssp126,2072,3.0177,4.781
ssp126,2073,3.0203,4.63
ssp126,2074,3.0235,5.702
ssp126,2075,3.027,5.203
ssp126,2076,3.0121,4.99
ssp126,2077,3.0201,4.997
ssp126,2078,3.0281,5.592
ssp126,2079,3.033,5.614
ssp126,2080,3.0387,5.394
ssp126,2081,3.0239,5.162
ssp126,2082,3.0243,5.771
ssp126,2083,3.0114,5.32
ssp126,2084,3.0152,5.137
ssp126,2085,3.0149,4.786
ssp126,2086,3.0131,5.131
ssp126,2087,3.0278,5.659
ssp126,2088,3.022,5.692
ssp126,2089,3.0186,5.571
ssp126,2090,3.0245,5.778
ssp126,2091,3.0098,5.265
ssp126,2092,3.0111,5.309
ssp126,2093,3.0102,5.28
ssp126,2094,3.0231,5.726
ssp126,2095,3.0052,5.104
ssp126,2096,3.0141,5.416
ssp126,2097,3.0164,5.116
ssp126,2098,3.0108,5.3
ssp126,2099,3.0208,5.436
ssp126,2100,3.0252,5.697
ssp245,2015,2.9089,1.541
ssp245,2016,2.9024,0.863
ssp245,2017,2.9088,1.256
ssp245,2018,2.9054,1.614
ssp245,2019,2.8966,1.185
ssp245,2020,2.931,1.701
ssp245,2021,2.9213,1.477
ssp245,2022,2.9228,2.015
ssp245,2023,2.9188,1.357
ssp245,2024,2.9084,1.718
ssp245,2025,2.9216,2.178
ssp245,2026,2.9544,1.935
ssp245,2027,2.9483,2.213
ssp245,2028,2.9295,2.456
ssp245,2029,2.9228,2.221
ssp245,2030,2.9262,2.249
ssp245,2031,2.9277,2.392
ssp245,2032,2.9513,2.233
ssp245,2033,2.9435,2.498
ssp245,2034,2.933,2.58
ssp245,2035,2.9547,3.338
ssp245,2036,2.9593,2.551
ssp245,2037,2.9721,2.258
ssp245,2038,2.9447,2.988
ssp245,2039,2.9518,3.226
ssp245,2040,2.9623,3.38
ssp245,2041,2.956,3.385
ssp245,2042,2.9855,3.948
ssp245,2043,2.9618,3.587
ssp245,2044,2.9714,3.534
ssp245,2045,2.9595,3.507
ssp245,2046,2.981,4.097
ssp245,2047,2.9609,3.554
ssp245,2048,2.9897,4.061
ssp245,2049,2.9875,3.909
ssp245,2050,2.9778,3.835
ssp245,2051,2.9756,4.067
ssp245,2052,2.9856,4.218
ssp245,2053,3.0151,5.095
ssp245,2054,2.9881,4.126
ssp245,2055,2.997,4.815
ssp245,2056,3.0315,4.837
ssp245,2057,3.0182,4.661
ssp245,2058,3.0191,5.54
ssp245,2059,3.0299,5.648
ssp245,2060,3.023,4.296
ssp245,2061,3.0218,5.012
ssp245,2062,3.0274,5.86
ssp245,2063,3.0106,5.05
ssp245,2064,3.0412,4.823
ssp245,2065,3.0225,5.709
ssp245,2066,3.0455,5.297
ssp245,2067,3.0414,5.185
ssp245,2068,3.041,5.526
ssp245,2069,3.0301,5.975
ssp245,2070,3.0385,6.047
ssp245,2071,3.0553,6.408
ssp245,2072,3.0405,5.9
ssp245,2073,3.039,5.986
ssp245,2074,3.0517,5.938
ssp245,2075,3.048,6.309
ssp245,2076,3.0522,6.071
ssp245,2077,3.0663,6.508
ssp245,2078,3.0601,5.664
ssp245,2079,3.0798,6.827
ssp245,2080,3.0638,6.311
ssp245,2081,3.0546,6.745
ssp245,2082,3.0728,6.429
ssp245,2083,3.0682,7.308
ssp245,2084,3.0585,6.45
ssp245,2085,3.0782,6.671
ssp245,2086,3.0886,6.537
ssp245,2087,3.0803,6.827
ssp245,2088,3.0689,6.818
ssp245,2089,3.0877,6.696
ssp245,2090,3.073,6.659
ssp245,2091,3.0856,7.064
ssp245,2092,3.0715,7.142
ssp245,2093,3.0766,7.178
ssp245,2094,3.0818,6.937
ssp245,2095,3.1061,7.225
ssp245,2096,3.1185,8.057
ssp245,2097,3.0868,6.977
ssp245,2098,3.0865,7.247
ssp245,2099,3.0947,8.207
ssp245,2100,3.0754,7.089
ssp585,2015,2.9031,1.136
ssp585,2016,2.9054,1.605
ssp585,2017,2.903,0.867
ssp585,2018,2.9014,1.299
ssp585,2019,2.9135,1.898
ssp585,2020,2.9149,1.635
ssp585,2021,2.9234,2.245
ssp585,2022,2.8956,1.272
ssp585,2023,2.9183,2.065
ssp585,2024,2.9314,1.756
ssp585,2025,2.9428,2.268
ssp585,2026,2.9379,1.708
ssp585,2027,2.9525,2.636
ssp585,2028,2.9373,2.533
ssp585,2029,2.949,2.042
ssp585,2030,2.9556,2.551
ssp585,2031,2.9536,3.299
ssp585,2032,2.9515,2.025
ssp585,2033,2.9616,2.533
ssp585,2034,2.9743,2.651
ssp585,2035,2.9643,2.683
ssp585,2036,2.9735,2.602
ssp585,2037,2.972,3.433
ssp585,2038,2.972,3.049
ssp585,2039,2.9757,2.477
ssp585,2040,2.9877,3.166
ssp585,2041,2.9918,4.216
ssp585,2042,2.9858,2.856
ssp585,2043,2.9959,3.815
ssp585,2044,3.0048,3.979
ssp585,2045,3.0248,4.034
ssp585,2046,3.016,4.423
ssp585,2047,3.0054,3.659
ssp585,2048,2.9938,3.638
ssp585,2049,3.0177,3.561
ssp585,2050,3.0284,4.708
ssp585,2051,3.0326,4.134
ssp585,2052,3.0176,4.157
ssp585,2053,3.0224,5.516
ssp585,2054,3.0353,4.741
ssp585,2055,3.043,4.628
ssp585,2056,3.0542,4.928
ssp585,2057,3.0651,4.986
ssp585,2058,3.0624,5.827
ssp585,2059,3.0686,5.585
ssp585,2060,3.0706,5.724
ssp585,2061,3.0725,6.133
ssp585,2062,3.09,6.107
ssp585,2063,3.0845,5.761
ssp585,2064,3.0816,6.723
ssp585,2065,3.0587,5.78
ssp585,2066,3.0809,6.314
ssp585,2067,3.103,7.231
ssp585,2068,3.1073,6.277
ssp585,2069,3.1043,7.112
ssp585,2070,3.1172,7.147
ssp585,2071,3.1409,7.503
ssp585,2072,3.1445,7.238
ssp585,2073,3.1175,6.894
ssp585,2074,3.1343,7.336
ssp585,2075,3.1304,7.926
ssp585,2076,3.1424,7.863
ssp585,2077,3.1393,7.049
ssp585,2078,3.1813,7.664
ssp585,2079,3.1512,7.482
ssp585,2080,3.1446,8.666
ssp585,2081,3.1556,8.031
ssp585,2082,3.1502,8.66
ssp585,2083,3.1493,7.874
ssp585,2084,3.176,9.225
ssp585,2085,3.1905,9.221
ssp585,2086,3.1859,9.014
ssp585,2087,3.1781,9.417
ssp585,2088,3.1855,8.903
ssp585,2089,3.2102,9.234
ssp585,2090,3.2162,9.502
ssp585,2091,3.2103,9.486
ssp585,2092,3.2294,10.018
ssp585,2093,3.2195,9.432
ssp585,2094,3.2233,10.462
ssp585,2095,3.2422,10.578
ssp585,2096,3.2369,10.955
ssp585,2097,3.2488,10.609
ssp585,2098,3.256,11.36
ssp585,2099,3.2461,11.817
ssp585,2100,3.2753,11.645
